@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
124,'2018/07/04 21:34:36:809',5,0,39,0,0,232,0,0,0,1760,0.06,0.99,1
125,'2018/07/04 21:34:36:815',5,0,38,0,0,232,0,0,0,1760,0.06,0.99,1
126,'2018/07/04 21:34:36:816',5,0,35,0,0,232,0,0,0,1760,0.06,0.99,1
127,'2018/07/04 21:34:36:816',5,0,32,0,0,232,0,0,0,1760,0.06,0.99,1
128,'2018/07/04 21:34:36:816',5,0,27,0,0,232,0,0,0,1760,0.06,0.99,1
129,'2018/07/04 21:34:36:816',5,0,23,0,0,232,0,0,0,1760,0.06,0.99,1
130,'2018/07/04 21:34:36:817',5,0,20,0,0,232,0,0,0,1760,0.06,0.99,1
131,'2018/07/04 21:34:36:817',5,0,15,0,0,232,0,0,0,1760,0.06,0.99,1
132,'2018/07/04 21:34:36:817',5,0,11,0,0,232,0,0,0,1760,0.06,0.99,1
133,'2018/07/04 21:34:36:838',5,0,6,0,0,232,0,0,0,1760,0.06,0.99,1
134,'2018/07/04 21:34:36:850',5,0,1,0,0,232,0,0,0,1760,0.06,0.99,1
135,'2018/07/04 21:34:36:988',5,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
136,'2018/07/04 21:34:37:013',5,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
137,'2018/07/04 21:42:02:718',6,54,58,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
138,'2018/07/04 21:42:03:775',6,59,58,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
139,'2018/07/04 21:42:03:829',6,59,73,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
140,'2018/07/04 21:42:03:863',6,59,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
141,'2018/07/04 21:42:03:875',6,59,78,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
142,'2018/07/04 21:42:03:889',6,59,80,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
143,'2018/07/04 21:42:03:916',6,59,81,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
144,'2018/07/04 21:42:03:933',6,59,82,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
145,'2018/07/04 21:42:03:963',6,59,83,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
146,'2018/07/04 21:42:04:060',6,59,83,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
147,'2018/07/04 21:42:04:065',6,59,82,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
148,'2018/07/04 21:42:04:066',6,65,82,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
149,'2018/07/04 21:42:04:083',6,65,81,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
150,'2018/07/04 21:42:04:095',6,64,81,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
151,'2018/07/04 21:42:04:096',6,64,79,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
152,'2018/07/04 21:42:04:103',6,63,79,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
