@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
40,'2018/07/12 22:06:06:716',1,380.09549,428.466583,55.181995,420.733765,381.019165,72.431931,367.942596,417.757721,46.6082,340.645996,412.170837,45.651287,317.988007,404.790833,47.487694,1
41,'2018/07/12 22:06:13:846',2,358.082611,402.302277,56.411194,412.363495,359.09256,70.983032,351.821533,401.836029,46.997726,327.535339,394.125366,45.772953,308.844757,383.233337,46.853893,1
42,'2018/07/12 22:06:13:902',2,358.147888,402.329559,56.416054,412.368286,359.129028,70.982033,351.847687,401.858032,46.999702,327.544617,394.142822,45.774128,308.871002,383.253693,46.8545,1
43,'2018/07/12 22:06:13:954',2,358.389282,403.104034,56.431053,412.621552,359.544189,70.91848,352.028046,402.81189,46.983807,327.677307,395.177734,45.775848,309.035919,384.270294,46.842068,1
44,'2018/07/12 22:06:14:012',2,358.979187,406.125427,56.353592,412.917053,362.735199,70.890907,352.56601,405.640015,46.900845,328.142578,398.020844,45.706383,309.456879,387.181396,46.790237,1
45,'2018/07/12 22:06:14:066',2,359.946899,407.634521,56.408165,413.059875,365.150208,71.066139,353.758545,406.763367,46.926231,329.290588,399.149445,45.766766,310.346619,388.667969,46.925648,1
46,'2018/07/12 22:06:14:118',2,360.420105,408.870972,56.545002,412.655304,367.033997,71.303764,354.745544,407.724335,46.9972,330.298523,400.146332,45.887714,310.6651,390.010498,47.104374,1
47,'2018/07/12 22:06:14:176',2,359.173615,410.016296,56.54771,412.425476,367.536377,71.389717,355.152252,408.111511,47.023174,330.713715,400.575806,45.945339,310.362213,390.666046,47.187813,1
48,'2018/07/12 22:06:14:233',2,357.993561,410.27536,56.611668,412.441742,367.194397,71.456451,354.835876,407.903442,47.092442,330.407593,400.387756,46.048386,309.602875,390.412476,47.265675,1
49,'2018/07/12 22:06:14:288',2,354.959351,408.709015,57.195477,410.618866,365.329437,72.164345,352.141052,405.326691,47.565926,327.574341,398.162079,46.688164,306.268219,387.89209,47.816757,1
50,'2018/07/12 22:06:14:343',2,354.546783,406.126343,57.495861,410.284149,362.087341,72.631134,351.858276,401.967285,47.82613,327.064331,395.089783,47.033413,305.647186,384.729675,48.133053,1
51,'2018/07/12 22:06:14:398',2,355.28006,402.048157,57.293777,409.948975,359.008789,73.155869,355.859009,395.998474,47.734566,330.923462,389.235229,46.983486,309.037445,379.154541,48.116089,1
52,'2018/07/12 22:06:14:455',2,355.428864,401.191925,57.123428,411.110199,357.25293,73.410286,357.03186,394.358185,47.696957,332.018036,387.194702,46.916782,309.831787,377.202362,48.077271,1
53,'2018/07/12 22:06:14:510',2,354.704987,402.248749,56.934822,412.931244,356.454407,73.523636,358.107056,395.334595,47.683697,333.112946,387.497192,46.813919,310.735229,377.428528,47.987309,1
54,'2018/07/12 22:06:14:568',2,357.341064,403.58075,56.749336,413.464569,357.112244,73.538727,359.015564,395.376953,47.555904,333.88031,387.635162,46.710953,311.07605,377.783325,47.905823,1
